日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/03/01,"31,311,735","438,227,840",14.10,14.10,13.95,14.00,-0.15,"6,036"
107/03/02,"24,219,882","337,116,848",13.90,14.00,13.85,14.00, 0.00,"4,408"
107/03/05,"18,923,532","263,515,010",14.00,14.05,13.85,13.90,-0.10,"3,350"
107/03/06,"38,196,016","539,307,126",14.00,14.20,13.95,14.15,+0.25,"6,306"
107/03/07,"23,556,623","331,097,772",14.10,14.20,14.00,14.05,-0.10,"4,677"
107/03/08,"192,883,370","2,948,105,051",14.80,15.45,14.75,15.45,+1.40,"18,894"
107/03/09,"171,989,378","2,651,138,719",15.60,15.70,15.05,15.10,-0.35,"20,609"
107/03/12,"53,982,965","826,043,046",15.30,15.45,15.20,15.25,+0.15,"10,920"
107/03/13,"41,466,811","629,580,808",15.20,15.25,15.10,15.25, 0.00,"7,045"
107/03/14,"30,406,280","460,144,610",15.20,15.25,15.05,15.10,-0.15,"5,619"
107/03/15,"26,807,907","405,133,241",15.05,15.20,15.05,15.10, 0.00,"7,758"
107/03/16,"40,546,513","613,904,393",15.05,15.20,15.00,15.20,+0.10,"5,363"
107/03/19,"26,548,555","404,857,694",15.15,15.35,15.10,15.25,+0.05,"4,993"
107/03/20,"22,326,811","338,759,709",15.20,15.20,15.10,15.20,-0.05,"5,835"
107/03/21,"30,837,425","468,596,201",15.20,15.25,15.10,15.20, 0.00,"4,274"
107/03/22,"30,331,924","461,964,811",15.30,15.35,15.15,15.25,+0.05,"4,275"
107/03/23,"50,157,951","757,192,664",15.05,15.20,15.00,15.20,-0.05,"7,025"
107/03/26,"34,810,888","526,422,218",15.05,15.20,15.05,15.15,-0.05,"4,648"
107/03/27,"60,879,240","940,335,624",15.20,15.65,15.15,15.55,+0.40,"10,388"
107/03/28,"19,099,923","294,215,584",15.35,15.50,15.30,15.40,-0.15,"4,548"
107/03/29,"37,000,161","566,069,488",15.35,15.45,15.20,15.30,-0.10,"5,574"
107/03/30,"29,931,778","460,214,894",15.30,15.45,15.20,15.40,+0.10,"4,609"
107/03/31,"17,906,313","277,995,667",15.50,15.65,15.40,15.50,+0.10,"3,838"
107/04/02,"28,643,495","446,366,436",15.50,15.75,15.40,15.45,-0.05,"4,569"
107/04/03,"27,692,884","425,826,641",15.35,15.45,15.30,15.40,-0.05,"4,535"
107/04/09,"44,828,988","686,496,403",15.30,15.40,15.20,15.25,-0.15,"4,241"
107/04/10,"43,687,362","669,458,488",15.30,15.40,15.20,15.30,+0.05,"7,244"
107/04/11,"29,420,087","454,410,141",15.35,15.60,15.30,15.40,+0.10,"4,363"
107/04/12,"24,395,100","376,316,353",15.40,15.50,15.35,15.45,+0.05,"4,183"
107/04/13,"19,916,291","307,512,517",15.40,15.50,15.40,15.40,-0.05,"3,414"
107/04/16,"16,106,002","247,930,975",15.40,15.45,15.35,15.35,-0.05,"2,164"
107/04/17,"33,941,740","522,111,910",15.35,15.50,15.30,15.35, 0.00,"3,464"
107/04/18,"43,266,308","672,203,526",15.45,15.60,15.35,15.60,+0.25,"5,916"
107/04/19,"57,239,731","907,902,122",15.65,16.00,15.60,15.85,+0.25,"11,826"
107/04/20,"34,122,407","532,588,978",15.75,15.80,15.50,15.60,-0.25,"4,187"
107/04/23,"20,121,592","314,191,251",15.55,15.80,15.50,15.55,-0.05,"2,752"
107/04/24,"57,837,166","892,911,299",15.55,15.65,15.20,15.35,-0.20,"6,470"
107/04/25,"50,347,727","781,004,029",15.30,15.60,15.30,15.50,+0.15,"5,911"
107/04/26,"79,246,861","1,237,355,220",15.50,15.85,15.40,15.70,+0.20,"8,185"
107/04/27,"70,981,790","1,121,770,236",15.70,15.95,15.60,15.70, 0.00,"8,200"
107/04/30,"60,872,336","973,299,622",15.70,16.10,15.70,16.00,+0.30,"7,885"
107/05/02,"105,765,858","1,742,794,750",16.00,16.85,16.00,16.25,+0.25,"14,665"
107/05/03,"53,928,795","868,634,820",16.25,16.25,15.95,16.05,-0.20,"9,221"
107/05/04,"49,075,125","792,732,391",16.00,16.40,15.95,16.00,-0.05,"7,267"
107/05/07,"41,618,961","656,439,323",16.10,16.15,15.65,15.65,-0.35,"7,039"
107/05/08,"25,284,222","398,864,158",15.80,15.85,15.65,15.85,+0.20,"5,000"
107/05/09,"48,096,224","777,909,735",15.85,16.55,15.75,16.20,+0.35,"9,051"
107/05/10,"23,378,264","375,826,483",16.35,16.45,15.95,15.95,-0.25,"5,137"
107/05/11,"31,393,160","506,690,238",16.10,16.20,16.00,16.15,+0.20,"5,649"
107/05/14,"32,914,897","532,485,477",16.20,16.40,16.00,16.40,+0.25,"6,961"
107/05/15,"42,548,647","697,808,912",16.35,16.55,16.20,16.45,+0.05,"9,023"
107/05/16,"33,701,981","550,815,892",16.40,16.55,16.20,16.30,-0.15,"5,372"
107/05/17,"26,416,612","429,140,601",16.35,16.50,16.05,16.05,-0.25,"5,498"
107/05/18,"22,129,437","354,629,342",16.15,16.15,15.95,16.05, 0.00,"4,592"
107/05/21,"10,344,761","166,211,226",16.05,16.15,16.00,16.05, 0.00,"3,672"
107/05/22,"43,275,499","708,345,684",16.25,16.65,16.20,16.20,+0.15,"8,517"
107/05/23,"21,014,513","340,739,579",16.35,16.40,16.10,16.20, 0.00,"4,317"
107/05/24,"13,951,673","225,569,449",16.20,16.30,16.05,16.20, 0.00,"5,445"
107/05/25,"25,392,359","412,195,921",16.20,16.30,16.15,16.25,+0.05,"7,847"
107/05/28,"34,010,039","555,821,808",16.45,16.50,16.25,16.40,+0.15,"9,391"
107/05/29,"33,254,072","546,601,165",16.50,16.60,16.35,16.45,+0.05,"6,586"
107/05/30,"54,574,035","896,988,414",16.30,16.70,16.25,16.40,-0.05,"8,952"
107/05/31,"97,295,929","1,613,352,855",16.55,16.65,16.40,16.65,+0.25,"12,957"
